dataset,features,data_dims,model,fold,test_mse,test_r2,train_mse,train_r2,embed_time,embedding_params,model_params
autompg,PCA,2,linreg,0,0.3196927601541681,0.7050603122795741,0.26408798532516237,0.7224829481515225,0.0005559921264648438,random_state=49,
autompg,PCA,2,linreg,1,0.21337503185049467,0.7291093735530727,0.2905962210111252,0.7292901614314863,0.0004363059997558594,random_state=49,
autompg,PCA,2,linreg,2,0.2762238829232026,0.6891856375672147,0.25898404382330265,0.7519801175046321,0.00036978721618652344,random_state=49,
autompg,PCA,2,linreg,3,0.25797518447190076,0.7056762084108479,0.28425128659126947,0.7300628893979891,0.0005998611450195312,random_state=49,
autompg,PCA,2,linreg,4,0.28570254017365115,0.7164428988260965,0.25838579503556525,0.740629135674411,0.0004551410675048828,random_state=49,
autompg,PCA,8,linreg,0,0.23429412947116685,0.7838467241246532,0.1571447432785293,0.8348643319973554,0.0004925727844238281,random_state=49,
autompg,PCA,8,linreg,1,0.1163010495744274,0.8523498091485874,0.20477811688938977,0.8092354719114925,0.0003886222839355469,random_state=49,
autompg,PCA,8,linreg,2,0.18743707237524268,0.7890908869644115,0.1718942519240389,0.8353829389083264,0.0003592967987060547,random_state=49,
autompg,PCA,8,linreg,3,0.1790094964403754,0.7957681323858696,0.17699666357205998,0.831916440823225,0.0003571510314941406,random_state=49,
autompg,PCA,8,linreg,4,0.16898383114903126,0.8322851267729162,0.18160238945578006,0.8177052700971641,0.0004374980926513672,random_state=49,
